iter	Passed	Remaining
406	6498	9468
407	6512	9449
408	6529	9435
409	6543	9416
410	6556	9396
411	6570	9376
412	6583	9357
413	6600	9342
414	6615	9325
415	6635	9314
416	6652	9300
417	6670	9287
418	6683	9267
419	6712	9269
420	6727	9252
421	6742	9235
422	6756	9215
423	6771	9198
424	6787	9183
425	6810	9176
426	6822	9155
427	6846	9149
428	6862	9133
429	6876	9115
430	6892	9098
431	6911	9087
432	6925	9068
433	6939	9050
434	6953	9031
435	6967	9012
436	6982	8995
437	6998	8980
438	7014	8963
439	7027	8944
440	7040	8924
441	7053	8905
442	7073	8893
443	7087	8875
444	7100	8855
445	7114	8837
446	7132	8824
447	7147	8806
448	7165	8792
449	7179	8775
450	7193	8756
451	7206	8736
452	7219	8717
453	7239	8706
454	7254	8689
455	7268	8670
456	7282	8653
457	7296	8634
458	7312	8618
459	7332	8607
460	7348	8592
461	7366	8577
462	7382	8562
463	7397	8545
464	7415	8532
465	7430	8514
466	7443	8495
467	7456	8476
468	7469	8457
469	7485	8441
470	7504	8428
471	7520	8412
472	7536	8396
473	7554	8382
474	7568	8364
475	7581	8346
476	7595	8328
477	7614	8314
478	7627	8296
479	7639	8276
480	7653	8257
481	7666	8239
482	7679	8219
483	7699	8208
484	7717	8194
485	7731	8177
486	7745	8159
487	7760	8141
488	7778	8128
489	7792	8110
490	7807	8094
491	7822	8077
492	7845	8067
493	7862	8053
494	7876	8035
495	7888	8015
496	7902	7998
497	7918	7982
498	7934	7966
499	7951	7951
500	7974	7942
501	7988	7925
502	8004	7909
503	8022	7895
504	8037	7878
505	8051	7860
506	8064	7841
507	8079	7825
508	8095	7809
509	8110	7792
510	8125	7775
511	8139	7757
512	8152	7738
513	8164	7719
514	8177	7700
515	8189	7681
516	8204	7664
517	8228	7656
518	8245	7641
519	8259	7624
520	8276	7608
521	8290	7591
522	8304	7574
523	8317	7555
524	8334	7540
525	8346	7521
526	8359	7502
527	8376	7487
528	8394	7474
529	8413	7461
530	8429	7445
531	8446	7430
532	8461	7413
533	8476	7396
534	8495	7383
535	8509	7366
536	8522	7348
537	8535	7330
538	8552	7314
539	8565	7296
540	8579	7278
541	8593	7261
542	8610	7246
543	8624	7229
544	8640	7213
545	8663	7203
546	8682	7190
547	8698	7174
548	8712	7157
549	8729	7142
550	8743	7124
551	8756	7107
552	8775	7093
553	8789	7076
554	8805	7060
555	8821	7044
556	8842	7032
557	8858	7016
558	8874	7000
559	8887	6983
560	8906	6969
561	8918	6950
562	8934	6934
563	8949	6918
564	8967	6904
565	8985	6890
566	8999	6872
567	9017	6858
568	9032	6841
569	9047	6825
570	9066	6811
571	9081	6794
572	9101	6782
